source_id,source_filename,relation,target_id,target_filename,reason
DVV-VIS-0166,divinivid_motion_21_typographic_grammar.png,REPLACED_BY,DVV-VIS-0185,gramática_cósmica_de_movimiento_tipográfico.png,Explicitly rejected low-quality Motion 21–25 attempt replaced by corrected accepted regeneration
DVV-VIS-0167,divinivid_motion_22_symbols_seals.png,REPLACED_BY,DVV-VIS-0144,códice_de_movimiento_celestial.png,Explicitly rejected low-quality Motion 21–25 attempt replaced by corrected accepted regeneration
DVV-VIS-0168,divinivid_motion_23_annotation_indexing.png,REPLACED_BY,DVV-VIS-0196,manual_de_anotación_cósmica_divinivid.png,Explicitly rejected low-quality Motion 21–25 attempt replaced by corrected accepted regeneration
DVV-VIS-0169,divinivid_motion_24_editorial_composition.png,REPLACED_BY,DVV-VIS-0256,tablero_editorial_de_movimiento_cósmico.png,Explicitly rejected low-quality Motion 21–25 attempt replaced by corrected accepted regeneration
DVV-VIS-0170,divinivid_motion_25_data_visualization.png,REPLACED_BY,DVV-VIS-0073,atlas_cinemático_de_datos_vivos.png,Explicitly rejected low-quality Motion 21–25 attempt replaced by corrected accepted regeneration
DVV-VIS-0001,1000072509.png,DUPLICATE_OF,,lámina_anatómica_de_aberración_carmesí.png,perceptual duplicate/near-duplicate of lámina_anatómica_de_aberración_carmesí.png (distance 0)
DVV-VIS-0002,1000072510.png,DUPLICATE_OF,,dossier_de_organismo_anómalo_divinivid.png,perceptual duplicate/near-duplicate of dossier_de_organismo_anómalo_divinivid.png (distance 0)
DVV-VIS-0003,1000072511.png,DUPLICATE_OF,,anatomía_onírica_entre_mundos.png,perceptual duplicate/near-duplicate of anatomía_onírica_entre_mundos.png (distance 0)
DVV-VIS-0004,1000072512.png,DUPLICATE_OF,,divinivid_umbral_sagrado.png,perceptual duplicate/near-duplicate of divinivid_umbral_sagrado.png (distance 0)
DVV-VIS-0005,1000072513.png,DUPLICATE_OF,,revelación_oscura_ritual_entre_sombras.png,perceptual duplicate/near-duplicate of revelación_oscura_ritual_entre_sombras.png (distance 0)
DVV-VIS-0191,imagegen.png,DUPLICATE_OF,,mapa_maestro_de_mundos_divinivid.png,exact byte duplicate of mapa_maestro_de_mundos_divinivid.png
DVV-VIS-0012,a_wide_cinematic_black_dark_parchment_style_infogr.png,NEGATIVE_EVIDENCE_FOR,ANTI_AESTHETIC_DRIFT_GENERIC_GOTHIC,,"auto-named output contains a known anti-canon drift signature; retained for review, not promoted"
DVV-VIS-0016,a_wide_cinematic_composite_graphic_poster_made_of.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0017,a_wide_cinematic_composite_infographic_image_made.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0018,a_wide_cinematic_composite_poster_infographic_in_a.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0019,a_wide_cinematic_dark_academy_infographic_poster.png,NEGATIVE_EVIDENCE_FOR,ANTI_AESTHETIC_DRIFT_GENERIC_GOTHIC,,"auto-named output contains a known anti-canon drift signature; retained for review, not promoted"
DVV-VIS-0024,a_wide_cinematic_editorial_collage_image_with_fiv.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0029,a_wide_cinematic_high_resolution_dark_fantasy_sc.png,NEGATIVE_EVIDENCE_FOR,ANTI_AESTHETIC_DRIFT_GENERIC_GOTHIC,,"auto-named output contains a known anti-canon drift signature; retained for review, not promoted"
DVV-VIS-0034,a_wide_composite_design_board_image_a_grid_of_fiv.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0035,a_wide_composite_image_grid_of_five_vertical_panel.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0036,a_wide_composite_image_showing_five_vertical_mood.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0037,a_wide_composite_image_showing_five_vertical_ui_br.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0038,a_wide_composite_layout_poster_grid_of_five_vertic.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0047,a_wide_high_resolution_collage_board_layout_of_fi.png,NEGATIVE_EVIDENCE_FOR,ANTI_CONDENSED_MULTI_BOARD_OUTPUT,,filename strongly matches the explicitly reported failure mode where multiple requested moodboards were condensed into one composite
DVV-VIS-0166,divinivid_motion_21_typographic_grammar.png,NEGATIVE_EVIDENCE_FOR,ANTI_LOW_QUALITY_DOCUMENTARY_MOTION_BOARD,,explicitly rejected low-quality 21–25 motion-board attempt; later regenerated
DVV-VIS-0167,divinivid_motion_22_symbols_seals.png,NEGATIVE_EVIDENCE_FOR,ANTI_LOW_QUALITY_DOCUMENTARY_MOTION_BOARD,,explicitly rejected low-quality 21–25 motion-board attempt; later regenerated
DVV-VIS-0168,divinivid_motion_23_annotation_indexing.png,NEGATIVE_EVIDENCE_FOR,ANTI_LOW_QUALITY_DOCUMENTARY_MOTION_BOARD,,explicitly rejected low-quality 21–25 motion-board attempt; later regenerated
DVV-VIS-0169,divinivid_motion_24_editorial_composition.png,NEGATIVE_EVIDENCE_FOR,ANTI_LOW_QUALITY_DOCUMENTARY_MOTION_BOARD,,explicitly rejected low-quality 21–25 motion-board attempt; later regenerated
DVV-VIS-0170,divinivid_motion_25_data_visualization.png,NEGATIVE_EVIDENCE_FOR,ANTI_LOW_QUALITY_DOCUMENTARY_MOTION_BOARD,,explicitly rejected low-quality 21–25 motion-board attempt; later regenerated
